"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"sp
3.160000000E1,4.036020617E-1,1.424791178E-2,-1.065264432E-3
3.170000000E1,4.153199704E-1,1.704423091E-2,2.663161080E-4
3.180000000E1,4.428836876E-1,2.769687523E-2,3.195793296E-3
3.190000000E1,4.640558182E-1,2.969424604E-2,4.660531890E-3
3.200000000E1,5.032042861E-1,2.516687221E-2,9.986854050E-3
3.210000000E1,5.183843042E-1,1.704423091E-2,-2.663161080E-3
3.220000000E1,5.302353710E-1,7.989483240E-4,-6.791060754E-3
3.230000000E1,5.436843345E-1,8.255799348E-3,5.992112430E-3
3.240000000E1,5.498096050E-1,2.862898161E-2,6.657902700E-3
3.250000000E1,5.399559090E-1,2.516687221E-2,1.864212756E-3
3.260000000E1,5.199822009E-1,1.637844064E-2,4.660531890E-3
3.270000000E1,5.286374744E-1,2.476739804E-2,1.930791783E-2
3.280000000E1,4.870921615E-1,9.986854050E-3,3.595267458E-3
3.290000000E1,4.787032041E-1,7.643272300E-2,2.743055912E-2
3.300000000E1,4.133225996E-1,6.178533706E-2,4.807005749E-2
