"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
1.770000000E1,4.274373533E-1,2.410160777E-2,-1.464738594E-2
1.780000000E1,4.367584171E-1,8.921589618E-3,1.411475372E-2
1.790000000E1,4.146541802E-1,2.117213059E-2,-1.597896648E-2
1.800000000E1,3.882888855E-1,2.170476280E-2,3.568635847E-2
1.810000000E1,3.131877430E-1,1.890844367E-2,-3.355582961E-2
1.820000000E1,3.571299008E-1,5.060006052E-3,3.728425512E-2
1.830000000E1,3.310309222E-1,9.587379888E-3,-3.595267458E-3
1.840000000E1,2.761698040E-1,4.620584474E-2,-4.261057728E-3
1.850000000E1,3.109240561E-1,4.860268971E-2,4.460794809E-2
1.860000000E1,2.881540289E-1,2.756371718E-2,2.929477188E-3
1.870000000E1,3.289003934E-1,1.651159870E-2,1.704423091E-2
1.880000000E1,3.102582658E-1,1.105211848E-2,-8.255799348E-3
1.890000000E1,3.275688128E-1,1.398159567E-2,1.331580540E-3
1.900000000E1,3.446130438E-1,2.703108496E-2,1.677791480E-2
1.910000000E1,3.564641106E-1,2.383529167E-2,-9.986854050E-3
1.920000000E1,3.869573049E-1,2.383529167E-2,-1.198422486E-3
1.930000000E1,4.158526026E-1,3.182477491E-2,1.424791178E-2
1.940000000E1,4.343615721E-1,2.902845577E-2,9.054747672E-3
1.950000000E1,4.432831618E-1,2.769687523E-2,9.587379888E-3
1.960000000E1,4.410194748E-1,3.608583263E-2,-2.063949837E-2
1.970000000E1,4.515389611E-1,2.130528864E-2,9.321063780E-3
1.980000000E1,4.759068850E-1,2.410160777E-2,-7.323692970E-3
1.990000000E1,4.872253196E-1,2.263686918E-2,-1.597896648E-3
2.000000000E1,4.787032041E-1,2.490055610E-2,1.731054702E-3
2.010000000E1,4.258394567E-1,1.398159567E-2,5.193164106E-3
2.020000000E1,3.932157335E-1,2.356897556E-2,-2.463423999E-2
2.030000000E1,4.054662744E-1,2.796319134E-2,-1.518001816E-2
2.040000000E1,3.844273019E-1,2.383529167E-2,3.595267458E-3
2.050000000E1,3.596599039E-1,1.797633729E-2,-1.731054702E-3
2.060000000E1,3.484746273E-1,1.145159264E-2,-9.054747672E-3
2.070000000E1,3.627225391E-1,2.596582053E-2,-4.527373836E-3
2.080000000E1,3.423493568E-1,3.888215177E-2,-7.456851024E-3
2.090000000E1,3.506051562E-1,3.435477793E-2,1.731054702E-3
2.100000000E1,3.585946394E-1,2.410160777E-2,-8.388957402E-3
2.110000000E1,3.713778126E-1,1.145159264E-2,4.527373836E-3
2.120000000E1,3.761715026E-1,1.025317016E-2,3.861583566E-3
2.130000000E1,3.783020314E-1,1.731054702E-2,-2.530003026E-3
2.140000000E1,3.877562532E-1,3.036003631E-2,-1.744370507E-2
2.150000000E1,3.910852046E-1,2.463423999E-2,-7.723167132E-3
2.160000000E1,4.231762956E-1,2.130528864E-2,1.997370810E-3
2.170000000E1,4.504736967E-1,2.649845275E-2,-4.261057728E-3
2.180000000E1,4.589958121E-1,1.810949534E-2,-4.527373836E-3
2.190000000E1,4.522047514E-1,2.596582053E-2,-1.291633124E-2
2.200000000E1,4.676510856E-1,2.103897253E-2,-2.157160475E-2
2.210000000E1,4.748416206E-1,2.303634334E-2,-6.125270484E-3
2.220000000E1,4.882905840E-1,2.343581750E-2,1.331580540E-3
2.230000000E1,4.954811189E-1,2.676476885E-2,-8.655273510E-3
2.240000000E1,4.791026783E-1,1.344896345E-2,-2.530003026E-3
2.250000000E1,4.712463531E-1,3.036003631E-2,3.728425512E-3
2.260000000E1,4.757737269E-1,3.488741015E-2,8.788431564E-3
2.270000000E1,4.479436937E-1,2.796319134E-2,6.391586592E-3
2.280000000E1,4.370247332E-1,3.222424907E-2,-9.054747672E-3
2.290000000E1,4.099936483E-1,2.530003026E-2,-1.451422789E-2
2.300000000E1,4.167847090E-1,7.723167132E-3,-2.663161080E-3
2.310000000E1,3.881557274E-1,1.637844064E-2,-7.590009078E-3
2.320000000E1,4.063983808E-1,1.757686313E-2,-2.396844972E-3
2.330000000E1,3.769704509E-1,1.518001816E-2,1.997370810E-3
2.340000000E1,3.944141559E-1,1.265001513E-2,3.462109404E-3
2.350000000E1,4.129231255E-1,1.797633729E-2,6.524744646E-3
2.360000000E1,3.747067640E-1,2.543318831E-2,-6.924218808E-3
2.370000000E1,3.946804721E-1,2.370213361E-2,5.326322160E-3
2.380000000E1,4.126568093E-1,2.769687523E-2,-4.660531890E-3
2.390000000E1,4.494084322E-1,2.636529469E-2,1.890844367E-2
2.400000000E1,4.348942044E-1,2.316950140E-2,1.078580237E-2
2.410000000E1,4.660531890E-1,1.478054399E-2,7.190534916E-3
2.420000000E1,4.528705417E-1,2.623213664E-2,-1.731054702E-3
2.430000000E1,4.535363319E-1,1.970739199E-2,-1.637844064E-2
2.440000000E1,4.539358061E-1,1.877528561E-2,-4.793689944E-3
2.450000000E1,4.820321555E-1,2.569950442E-2,-5.858954376E-3
