"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
3.150000000E1,2.708434818E-1,-4.127899674E-3,3.289003934E-2
3.160000000E1,2.716424302E-1,5.326322160E-3,1.877528561E-2
3.170000000E1,2.809634939E-1,2.769687523E-2,1.597896648E-2
3.180000000E1,2.788329651E-1,1.025317016E-2,2.250371113E-2
3.190000000E1,2.856240258E-1,-2.117213059E-2,1.944107588E-2
3.200000000E1,2.960103540E-1,-1.478054399E-2,1.877528561E-2
3.210000000E1,3.024019406E-1,-1.438106983E-2,2.210423696E-2
3.220000000E1,3.093261594E-1,3.861583566E-3,1.771002118E-2
3.230000000E1,3.231745971E-1,8.255799348E-3,2.170476280E-2
3.240000000E1,3.202451199E-1,3.994741620E-3,1.451422789E-2
3.250000000E1,3.350256639E-1,-8.921589618E-3,3.115898464E-2
3.260000000E1,3.374225088E-1,-4.527373836E-3,2.037318226E-2
3.270000000E1,3.462109404E-1,-3.994741620E-4,2.223739502E-2
3.280000000E1,3.464772565E-1,6.258428538E-3,1.771002118E-2
3.290000000E1,3.391535635E-1,1.398159567E-2,2.356897556E-2
3.300000000E1,3.420830407E-1,-1.291633124E-2,1.091896043E-2
3.310000000E1,3.503388401E-1,-7.723167132E-3,1.810949534E-2
3.320000000E1,3.575293750E-1,-6.924218808E-3,2.303634334E-2
3.330000000E1,3.565972686E-1,-1.731054702E-3,1.131843459E-2
3.340000000E1,3.515372626E-1,2.663161080E-4,2.343581750E-2
3.350000000E1,3.519367367E-1,1.118527654E-2,1.664475675E-2
3.360000000E1,3.522030528E-1,3.195793296E-3,1.597896648E-2
3.370000000E1,3.459446243E-1,-3.595267458E-3,1.731054702E-2
3.380000000E1,3.484746273E-1,5.060006052E-3,2.490055610E-2
3.390000000E1,3.446130438E-1,-2.130528864E-3,2.063949837E-2
3.400000000E1,3.367567186E-1,5.858954376E-3,1.744370507E-2
3.410000000E1,3.262372323E-1,6.391586592E-3,1.997370810E-2
3.420000000E1,3.217098585E-1,5.459480214E-3,3.115898464E-2
3.430000000E1,3.278351289E-1,-1.038632821E-2,2.476739804E-2
3.440000000E1,3.190466974E-1,-1.464738594E-3,2.356897556E-2
3.450000000E1,3.157177460E-1,-6.657902700E-4,1.624528259E-2
3.460000000E1,3.137203752E-1,5.326322160E-4,1.904160172E-2
